-DOCSTART- -X- -X- O
Obesity O O O
Minimal O O O
anemia O O O
but O O O
with O O O
drop O O O
over O O O
past O O O
4 O O O
months. O O O
ALLERGIES: O O O
No O O O
Known O O O
Drug O O O
Allergies O O O
05/21/2087 O O O
ostrowski O O O
MEDICATIONS: O O O
Lidex NNP B-NP B-DRUG
cream O O O
No O O O
Match O O O
bid O O O
prn O O O
up O O O
to O O O
2 O O O
week O O O
: O O O
01/09/2087 O O O
- O O O
02/02/2090 O O O
ACT O O O
: O O O
ostrowski O O O
Script: O O O
Amt: O O O
45 O O O
grams O O O
Refill: O O O
1 O O O
Date: O O O
09/29/2089 O O O
: O O O
ostrowski O O O
HCTZ NNP B-NP B-DRUG
25mg O O O
qd O O O
: O O O
05/02/2086 O O O
- O O O
09/29/2089 O O O
ACT O O O
: O O O
ostrowski O O O
Script: O O O
Amt: O O O
100 O O O
Refill: O O O
3 O O O
Date: O O O
10/21/2088 O O O
: O O O
ostrowski O O O
K-Dur NNP B-NP B-DRUG
10MEQ O O O
qod O O O
: O O O
05/02/2086 O O O
- O O O
03/06/2092 O O O
ACT O O O
: O O O
ostrowski O O O
Script: O O O
Amt: O O O
#30 O O O
Refill: O O O
11 O O O
Date: O O O
08/03/2090 O O O
: O O O
ostrowski O O O
Zestril NNP B-NP B-DRUG
5MG O O O
qd O O O
: O O O
05/02/2086 O O O
- O O O
10/21/2088 O O O
ACT O O O
: O O O
ostrowski O O O
Script: O O O
Amt: O O O
30 O O O
Refill: O O O
11 O O O
Date: O O O
09/18/2087 O O O
: O O O
ostrowski O O O
PROBLEMS O O O
- O O O
CARE O O O
PLANS: O O O
Problem: O O O
problem O O O
Code: O O O
285.9 O O O
Anemia, O O O
unspecified O O O
Careplan: O O O
GI O O O
consult O O O
for O O O
endoscopy. O O O
Email O O O
sent O O O
to O O O
Dr O O O
Willis O O O
requesting O O O
expedite O O O
proceedure O O O
in O O O
view O O O
of O O O
lower O O O
HCT. O O O
Problem: O O O
problem O O O
Code: O O O
401.9 O O O
Hypertension O O O
Careplan: O O O
Diet: O O O
low O O O
sodium O O O
and O O O
low O O O
cholesterol. O O O
weight O O O
loss O O O
increse O O O
exercise. O O O
ASA NNP B-NP B-DRUG
QD O O O
Refill O O O
meds O O O
FU O O O
3 O O O
mo. O O O
E/M O O O
Codes: O O O
42789 O O O
THIS O O O
IS O O O
A O O O
COPY O O O
PRODUCED O O O
FOR O O O
THE O O O
LMR. O O O
THE O O O
ORGINAL O O O
IS O O O
STORED O O O
ON O O O
THE O O O
COMPENDIA O O O
SERVER O O O
AT O O O
SMI O O O
KESSEL O O O
GROUP O O O
HOME O O O
AND O O O
IN O O O
PRINT O O O
IN O O O
THE O O O
PATIENT'S O O O
SMI O O O
PAPER O O O
RECORD. O O O

Record O O O
date: O O O
2079-04-08 O O O
OFFICE O O O
NOTE O O O
Perla O O O
Esposito O O O
MRN:146-55-23-5 O O O
4/08/79 O O O
Follow-up O O O
visit O O O
for O O O
this O O O
77-year-old O O O
Chilean O O O
woman. O O O
She O O O
comes O O O
today O O O
bothered O O O
by O O O
right-sided O O O
shoulder O O O
pain. O O O
On O O O
a O O O
previous O O O
visit O O O
she O O O
had O O O
complained O O O
of O O O
this O O O
and O O O
I O O O
wanted O O O
to O O O
put O O O
her O O O
on O O O
Motrin NNP B-NP B-DRUG
but O O O
she O O O
wanted O O O
to O O O
try O O O
Tylenol. NNP B-NP B-DRUG
The O O O
pain O O O
bothers O O O
her O O O
sometimes O O O
at O O O
night O O O
and O O O
is O O O
throbbing. O O O
It O O O
bothers O O O
her O O O
when O O O
she O O O
tries O O O
to O O O
attach O O O
her O O O
bra O O O
behind O O O
her O O O
back. O O O
Other O O O
than O O O
that O O O
she O O O
has O O O
been O O O
doing O O O
fairly O O O
well. O O O
She O O O
has O O O
not O O O
had O O O
any O O O
chest O O O
pains. O O O
She O O O
has O O O
not O O O
had O O O
any O O O
symptoms O O O
of O O O
TIAs. O O O
She O O O
has O O O
a O O O
lot O O O
of O O O
concern O O O
about O O O
her O O O
chronic O O O
renal O O O
insufficiency O O O
and O O O
wants O O O
to O O O
discuss O O O
this. O O O
Medications: O O O
Lopressor. NNP B-NP B-DRUG
Hydochlorothiazide. NNP B-NP B-DRUG
Procardia NNP B-NP B-DRUG
XL. NNP B-NP I-DRUG
Micronase. NNP B-NP B-DRUG
Motrin. NNP B-NP B-DRUG
Aspirin. NNP B-NP B-DRUG
Allergies: O O O
Lisinopril NNP B-NP B-DRUG
causes O O O
hypokelemia. O O O
Family O O O
History: O O O
Non-contributory. O O O
Social O O O
History: O O O
She O O O
has O O O
a O O O
daughter, O O O
Rhodes, O O O
who O O O
has O O O
been O O O
very O O O
supportive. O O O
No O O O
cigarettes O O O
or O O O
alcohol. O O O
Review O O O
of O O O
Systems: O O O
She O O O
refuses O O O
general O O O
GYN O O O
screening. O O O
She O O O
had O O O
a O O O
hemoglobin O O O
A1C O O O
in O O O
March, O O O
which O O O
was O O O
6.4. O O O
She O O O
had O O O
an O O O
ophthalmology O O O
exam O O O
in O O O
September. O O O
Physical O O O
Examination: O O O
Worried. O O O
Weight O O O
131 O O O
lb. O O O
Blood O O O
pressure O O O
142/60. O O O
Pulse O O O
is O O O
72. O O O
Skin O O O
exam O O O
unremarkable. O O O
HEENT: O O O
EOMI. O O O
No O O O
scleral O O O
icterus. O O O
No O O O
lymphadenopathy. O O O
No O O O
thyromegaly. O O O
I O O O
cannot O O O
hear O O O
any O O O
carotid O O O
bruits. O O O
Lungs O O O
are O O O
clear. O O O
No O O O
murmurs. O O O
No O O O
gallops. O O O
Benign O O O
abdomen. O O O
No O O O
hepatomegaly. O O O
No O O O
splenomegaly. O O O
No O O O
pedal O O O
edema. O O O
Examination O O O
of O O O
the O O O
right O O O
shoulder O O O
shows O O O
that O O O
she O O O
has O O O
tenderness O O O
on O O O
abduction O O O
beyond O O O
110 O O O
but O O O
her O O O
most O O O
marked O O O
tenderness O O O
is O O O
with O O O
her O O O
internal O O O
rotation O O O
and O O O
she O O O
is O O O
unable O O O
to O O O
do O O O
this O O O
further O O O
than O O O
L5. O O O
Procedure: O O O
The O O O
right O O O
subdeltoid O O O
bursa O O O
was O O O
prepped O O O
with O O O
Betadine. NNP B-NP B-DRUG
The NNP B-NP B-DRUG
skin O O O
was O O O
infiltrated O O O
with O O O
1% O O O
Xylocaine NNP B-NP B-DRUG
in O O O
a O O O
27 O O O
gauge O O O
needle. O O O
The O O O
subdeltoid O O O
bursa O O O
itself O O O
was O O O
entered O O O
with O O O
a O O O
21 O O O
gauge O O O
needle O O O
and O O O
a O O O
mixture O O O
of O O O
1cc O O O
of O O O
1% O O O
Xylocaine NNP B-NP B-DRUG
and O O O
40mg O O O
of O O O
Depo-Medrol NNP B-NP B-DRUG
was O O O
injected. O O O
She O O O
tolerated O O O
the O O O
procedure O O O
well. O O O
Perla O O O
Esposito O O O
MRN:146-55-23-5 O O O
4/08/79 O O O
Page O O O
2 O O O
1. O O O
Rotator O O O
Cuff O O O
Tendonitis. O O O
She O O O
received O O O
an O O O
injection O O O
as O O O
above. O O O
2. O O O
CAD. O O O
Doing O O O
well O O O
without O O O
symptoms. O O O
3. O O O
Hypertension. O O O
Good O O O
control. O O O
4. O O O
Elevated O O O
Cholesterol. O O O
Her O O O
cholesterol O O O
has O O O
been O O O
better O O O
controlled. O O O
5. O O O
Cerebral O O O
Vascular O O O
Disease. O O O
She O O O
is O O O
doing O O O
well O O O
after O O O
her O O O
andardirectomy. O O O
She O O O
has O O O
a O O O
mild O O O
facial O O O
droop O O O
otherwise O O O
no O O O
clear O O O
evidence O O O
of O O O
stroke. O O O
6. O O O
Diabetes. O O O
She O O O
has O O O
excellent O O O
hemoglobin O O O
A1C O O O
and O O O
has O O O
had O O O
recent O O O
ophthalmology O O O
exam. O O O
Ulises O O O
J. O O O
Kelley, O O O
M.D. O O O
UJ: O O O
kuhn O O O
******** O O O
Not O O O
reviewed O O O
by O O O
Attending O O O
Physician O O O
******** O O O

Record O O O
date: O O O
2080-05-21 O O O
Vascular O O O
Surgery O O O
Admission O O O
Note O O O
Patient O O O
Name: O O O
Vieira, O O O
Nathan O O O
MRN: O O O
0666729 O O O
Date O O O
and O O O
Time: O O O
5/21/2080 O O O
8:15 O O O
PM O O O
Attending: O O O
Dr. O O O
Atwood O O O
Fellow: O O O
Dr. O O O
Godfrey O O O
Senior O O O
Resident: O O O
Dr. O O O
Sanders O O O
Junior O O O
Resident: O O O
Dr. O O O
Alford O O O
48167 O O O
Reason O O O
for O O O
consult: O O O
Preadmit O O O
for O O O
angio O O O
5/22/80 O O O
HPI: O O O
Pt O O O
is O O O
a O O O
73yo O O O
M O O O
known O O O
to O O O
Dr. O O O
Atwood O O O
s/p O O O
multiple O O O
LE O O O
revascularization O O O
procedures. O O O
He O O O
presented O O O
to O O O
Dr. O O O
Atwood O O O
c/o O O O
new O O O
onset O O O
RLE O O O
pain, O O O
numbness, O O O
and O O O
color O O O
change, O O O
similar O O O
to O O O
previous O O O
episodes O O O
of O O O
graft O O O
thrombosis. O O O
He O O O
was O O O
evaluated O O O
at O O O
the O O O
time O O O
and O O O
a O O O
plan O O O
made O O O
for O O O
angiography O O O
and O O O
intervention. O O O
His O O O
INR O O O
was O O O
2.9, O O O
so O O O
it O O O
was O O O
allowed O O O
to O O O
drift O O O
down O O O
and O O O
he O O O
was O O O
scheduled O O O
for O O O
a O O O
procedure O O O
on O O O
5/22/80. O O O
He O O O
is O O O
admitted O O O
today O O O
for O O O
preoperative O O O
evaluation, O O O
anticoagulation, NNP B-NP B-DRUG
and O O O
renal O O O
protection. O O O
PMHx/PSHx: O O O
DM O O O
PVD O O O
LLE O O O
angio, O O O
thrombectomy O O O
12/78 O O O
L O O O
fem-pop O O O
BPG O O O
4/78 O O O
R O O O
fem-pop O O O
BPG O O O
2/78 O O O
RLE O O O
angio O O O
1/78 O O O
CAD O O O
s/p O O O
PTCA O O O
HTN O O O
Hyperlipidemia O O O
Urinary O O O
retention O O O
from O O O
hypotonic O O O
bladder O O O
&#8211; O O O
self O O O
caths, O O O
abx NNP B-NP B-DRUG
prophylaxis, O O O
s/p O O O
cytstoscopy/TUR O O O
GERD O O O
Psoriasis O O O
L O O O
shoulder O O O
surgery O O O
Meds: O O O
Lipitor NNP B-NP B-DRUG
20 O O O
qpm O O O
Zetia NNP B-NP B-DRUG
10mg O O O
qpm O O O
ASA NNP B-NP B-DRUG
81 O O O
qam O O O
Altace NNP B-NP B-DRUG
10 O O O
qam O O O
Atenolol NNP B-NP B-DRUG
50 O O O
qam O O O
Glyburide NNP B-NP B-DRUG
2.5mg O O O
BID O O O
Nitrofurantoin NNP B-NP B-DRUG
50mg O O O
qd O O O
Taclonex NNP B-NP B-DRUG
60mg O O O
cream O O O
All: O O O
NKDA O O O
PE: O O O
NAD O O O
CTAB O O O
RRR O O O
Soft, O O O
ND, O O O
NT, O O O
no O O O
abdominal O O O
bruits O O O
LE: O O O
no O O O
edema O O O
bilaterally O O O
Foot: O O O
R: O O O
White O O O
great O O O
toe O O O
with O O O
dry O O O
gangrene O O O
through O O O
the O O O
first O O O
interphalangeal O O O
joint. O O O
Mild O O O
erethema O O O
proximally. O O O
L: O O O
erythema O O O
and O O O
mild O O O
color O O O
change O O O
of O O O
distal O O O
toes, O O O
a O O O
change O O O
from O O O
pt&#8217;s O O O
baseline, O O O
(+) O O O
cap O O O
refill, O O O
no O O O
palpable O O O
pulses O O O
Rad O O O
Fem O O O
Pop O O O
DP O O O
PT O O O
R O O O
2+ O O O
2+ O O O
none O O O
none O O O
none O O O
L O O O
2+ O O O
2+ O O O
none O O O
1+ O O O
1+ O O O
LABS: O O O
WBC O O O
9.2 O O O
(4.5-11.0) O O O
th/cmm O O O
HCT O O O
39.2 O O O
L O O O
(41.0-53.0) O O O
% O O O
HGB O O O
13.4 O O O
L O O O
(13.5-17.5) O O O
gm/dl O O O
PLT O O O
222 O O O
(150-400) O O O
th/cumm O O O
PT O O O
12.4 O O O
(10.3-13.2) O O O
sec O O O
PT-INR O O O
1.1 O O O
APTT O O O
25.3 O O O
(22.1-34.0) O O O
sec O O O
Plasma O O O
Sodium O O O
142 O O O
(135-145) O O O
mmol/L O O O
Plasma O O O
Potassium O O O
4.5 O O O
(3.4-4.8) O O O
mmol/L O O O
Plasma O O O
Chloride O O O
104 O O O
(100-108) O O O
mmol/L O O O
Plasma O O O
Carbon O O O
Dioxide O O O
26.8 O O O
(23.0-31.9) O O O
mmol/L O O O
Plasma O O O
Urea O O O
Nitrogen O O O
17 O O O
(8-25) O O O
mg/dl O O O
Plasma O O O
Creatinine O O O
1.19 O O O
(0.60-1.50) O O O
mg/dl O O O
Plasma O O O
Glucose O O O
147 O O O
H O O O
(70-110) O O O
mg/dl O O O
Calcium O O O
9.8 O O O
(8.5-10.5) O O O
mg/dl O O O
Phosphorus O O O
2.6 O O O
(2.6-4.5) O O O
mg/dl O O O
Magnesium O O O
1.4 O O O
(1.4-2.0) O O O
meq/L O O O
STUDIES: O O O
CXR: O O O
Low O O O
lung O O O
volumes. O O O
No O O O
evidence O O O
of O O O
acute O O O
cardiopulmonary O O O
disease. O O O
A/P: O O O
73yo O O O
M O O O
preadmission O O O
for O O O
renal O O O
protection O O O
and O O O
OR O O O
for O O O
angio O O O
5/22 O O O
- O O O
NPO O O O
p O O O
MN, O O O
IVF NNP B-NP B-DRUG
- NNP B-NP B-DRUG
Renal O O O
protection O O O
protocol O O O
- O O O
Heparin NNP B-NP B-DRUG
gtt O O O
- O O O
Consent O O O
in O O O
chart O O O
________________________________ O O O
Tessa O O O
Alford, O O O
MD, O O O
PhD O O O
48167 O O O
RCH O O O
Surgery O O O

Record O O O
date: O O O
2095-07-25 O O O
BMH O O O
Senior O O O
Health O O O
Return O O O
Visit O O O
CC: O O O
79 O O O
yo O O O
man O O O
hx O O O
depression, O O O
psychosis, O O O
insomnia, O O O
CAD, O O O
syncope, O O O
HTN, O O O
DMT2, O O O
carotid O O O
stenosis, O O O
PVD, O O O
recent O O O
right O O O
inguinal O O O
hernia O O O
repair O O O
c/b O O O
hydrocele, O O O
recent O O O
TURP O O O
for O O O
Bladder O O O
outlet O O O
obs O O O
presents O O O
for O O O
f/u O O O
of O O O
these O O O
and O O O
other O O O
chronic O O O
health O O O
problems O O O
HPI: O O O
Briefly, O O O
patient O O O
to O O O
BMH O O O
with O O O
syncope O O O
in O O O
spring O O O
2094. O O O
Work O O O
up O O O
unremarkable O O O
including O O O
cerebrovascular O O O
imaging, O O O
cardiac O O O
cath, O O O
EP O O O
study, O O O
loop O O O
recorder. O O O
Noted O O O
to O O O
have O O O
stable O O O
CAD O O O
and O O O
is O O O
on O O O
regimen O O O
for O O O
that O O O
including O O O
ACEI, NNP B-NP B-DRUG
BB, NNP B-NP B-DRUG
ASA, NNP B-NP B-DRUG
Statin. NNP B-NP B-DRUG
In NNP B-NP B-DRUG
hospital, O O O
was O O O
noted O O O
that O O O
pt O O O
had O O O
had O O O
40 O O O
lb O O O
weight O O O
loss O O O
over O O O
previous O O O
months. O O O
Chronically O O O
elevated O O O
PSA O O O
noted. O O O
Bone O O O
scan O O O
performed O O O
was O O O
unremarkable. O O O
Right O O O
inguinal O O O
hernia O O O
noted, O O O
was O O O
repaired O O O
in O O O
October. O O O
Pt O O O
noted O O O
to O O O
be O O O
depressed O O O
and O O O
psychotic, O O O
requiring O O O
inpt O O O
hospitalization O O O
on O O O
Psych O O O
floor. O O O
Depn O O O
successfully O O O
treated O O O
and O O O
psychosis O O O
improved O O O
as O O O
well. O O O
Has O O O
been O O O
followed O O O
by O O O
Dr. O O O
Nobles O O O
s/p O O O
d/c. O O O
Presented O O O
to O O O
BMH O O O
in O O O
early O O O
Feb O O O
with O O O
abdominal O O O
pain, O O O
found O O O
to O O O
have O O O
bladder O O O
outlet O O O
obs O O O
from O O O
enlarged O O O
prostate O O O
leading O O O
to O O O
b/l O O O
hydronephrosis. O O O
Repeatedly O O O
failed O O O
voiding O O O
trials O O O
s/p O O O
d/c O O O
despite O O O
maximal O O O
medical O O O
therapy. O O O
Therefore, O O O
had O O O
an O O O
uncomplicated O O O
TURP. O O O
Since O O O
TURP, O O O
pt O O O
had O O O
successful O O O
voiding O O O
trial. O O O
Had O O O
been O O O
asked O O O
to O O O
continue O O O
his O O O
proscar NNP B-NP B-DRUG
and O O O
2 O O O
flomax NNP B-NP B-DRUG
qd O O O
for O O O
another O O O
month, O O O
then O O O
stop O O O
proscar NNP B-NP B-DRUG
and O O O
continue O O O
with O O O
just O O O
one O O O
flomax NNP B-NP B-DRUG
qd O O O
after O O O
this O O O
period O O O
of O O O
time. O O O
Still O O O
taking O O O
both, O O O
however, O O O
at O O O
this O O O
time. O O O
Seen O O O
by O O O
cardiology O O O
.Felt O O O
stable O O O
from O O O
CV O O O
perspective. O O O
Recommended O O O
lower O O O
ext O O O
ABIs/PVRs O O O
which O O O
pt O O O
declined O O O
at O O O
time. O O O
Recommended O O O
restarting O O O
ASA NNP B-NP B-DRUG
s/p O O O
TURP. O O O
Mood O O O
stable. O O O
Has O O O
been O O O
only O O O
taking O O O
3.75mg O O O
Zyprexa NNP B-NP B-DRUG
qd, O O O
not O O O
been O O O
taking O O O
7.5mg O O O
as O O O
prescribed. O O O
Has O O O
been O O O
having O O O
some O O O
weight O O O
loss O O O
per O O O
hx O O O
-- O O O
however, O O O
not O O O
so O O O
upon O O O
checking O O O
of O O O
weights O O O
in O O O
LMR. O O O
Notes O O O
that O O O
he O O O
feels O O O
weaker O O O
than O O O
usual O O O
--"weak O O O
as O O O
a O O O
kitten." O O O
Feels O O O
coincides O O O
with O O O
when O O O
he O O O
was O O O
hospitalized O O O
and O O O
meds O O O
then O O O
started. O O O
Also O O O
notes O O O
watery O O O
eyes O O O
x O O O
few O O O
months. O O O
WOnders O O O
whether O O O
this O O O
can O O O
be O O O
due O O O
to O O O
FLomax NNP B-NP B-DRUG
PMH: O O O
1. O O O
NIDDM. O O O
Had O O O
had O O O
DM O O O
for O O O
&gt;15 O O O
yrs O O O
2. O O O
HTN O O O
x O O O
yrs O O O
3. O O O
Hyperlipidemia O O O
4. O O O
BPH O O O
5. O O O
Diverticulosis O O O
( O O O
noted O O O
on O O O
abd O O O
CT) O O O
6. O O O
Basal O O O
cell O O O
carcinoma O O O
excisions O O O
on O O O
chest: O O O
followed O O O
by O O O
dermatologist O O O
7. O O O
Carotids O O O
Stenosis O O O
8. O O O
Claudication: O O O
walks O O O
a O O O
couple O O O
blocks O O O
before O O O
begins O O O
feeling O O O
cramps O O O
in O O O
leg O O O
9. O O O
Glaucoma O O O
10. O O O
Inguinal O O O
Hernia: O O O
9/93 O O O
pending O O O
surgery O O O
11. O O O
?Ventral O O O
hernia O O O
12: O O O
Depression O O O
13: O O O
Psychosis O O O
14: O O O
Insomnia O O O
Medications O O O
Aspirin NNP B-NP B-DRUG
(ACETYLSALICYLIC O O O
ACID) NNP B-NP I-DRUG
325 O O O
MG O O O
(325MG O O O
TABLET O O O
take O O O
1) O O O
PO O O O
QD O O O
, O O O
on O O O
hold O O O
for O O O
hematuria O O O
3/02/2095 O O O
Brimonidine NNP B-NP B-DRUG
TARTRATE NNP B-NP I-DRUG
1 O O O
DROP O O O
(0.2% O O O
DROPS O O O
) O O O
OU O O O
QAM O O O
Cilostazol NNP B-NP B-DRUG
100 O O O
MG O O O
(100MG O O O
TABLET O O O
take O O O
1) O O O
PO O O O
BID O O O
, O O O
3/022095 O O O
on O O O
hold O O O
for O O O
hematuria O O O
#90 O O O
Tablet(s) O O O
Dulcolax NNP B-NP B-DRUG
(BISACODYL) O O O
5 O O O
MG O O O
(5MG O O O
TABLET O O O
take O O O
1) O O O
PO O O O
QD O O O
Flomax NNP B-NP B-DRUG
(TAMSULOSIN) O O O
0.8 O O O
MG O O O
(0.4MG O O O
CAP.SR O O O
24H O O O
take O O O
2) O O O
PO O O O
QPM O O O
x O O O
30 O O O
days O O O
#60 O O O
CAP.SR O O O
Glipizide NNP B-NP B-DRUG
2.5 O O O
MG O O O
(5MG O O O
TABLET O O O
take O O O
0.5) O O O
PO O O O
bid O O O
, O O O
before O O O
BK O O O
and O O O
dinner O O O
Metoprolol NNP B-NP B-DRUG
TARTRATE NNP B-NP I-DRUG
12.5 O O O
MG O O O
(25MG O O O
TABLET O O O
take O O O
0.5) O O O
PNGT O O O
BID O O O
x O O O
90 O O O
days O O O
#90 O O O
Tablet(s) O O O
Mvi NNP B-NP B-DRUG
(MULTIVITAMINS) O O O
1 O O O
TAB O O O
PO O O O
QD O O O
#1 O O O
Bottle(s) O O O
Norvasc NNP B-NP B-DRUG
(AMLODIPINE) O O O
10 O O O
MG O O O
(5MG O O O
TABLET O O O
take O O O
2) O O O
PO O O O
QD O O O
#90 O O O
Tablet(s) O O O
Proscar NNP B-NP B-DRUG
(FINASTERIDE O O O
(BPH)) O O O
5 O O O
MG O O O
(5MG O O O
TABLET O O O
take O O O
1) O O O
PO O O O
QD O O O
x O O O
30 O O O
days O O O
#30 O O O
Tablet(s) O O O
Psyllium NNP B-NP B-DRUG
PACKET O O O
take O O O
1 O O O
PO O O O
QD O O O
PRN O O O
Remeron NNP B-NP B-DRUG
(MIRTAZAPINE) O O O
15 O O O
MG O O O
(30MG O O O
TABLET O O O
take O O O
0.5) O O O
PO O O O
QPM O O O
#90 O O O
Tablet(s) O O O
Sennosides NNP B-NP B-DRUG
1 O O O
TAB O O O
PO O O O
QD O O O
Zocor NNP B-NP B-DRUG
(SIMVASTATIN) O O O
80 O O O
MG O O O
(80MG O O O
TABLET O O O
take O O O
1) O O O
PO O O O
QHS O O O
#90 O O O
Tablet(s) O O O
Zyprexa NNP B-NP B-DRUG
(OLANZAPINE) O O O
7.5 O O O
MG O O O
(5MG O O O
TABLET O O O
take O O O
1.5) O O O
PO O O O
QD O O O
, O O O
Take O O O
1 O O O
tab O O O
at O O O
bedtime O O O
#90 O O O
Tablet(s) O O O
Allergies: O O O
NKDA O O O
Health O O O
Maintenance: O O O
1. O O O
Pneumovax: O O O
Has O O O
had O O O
in O O O
past O O O
2. O O O
Influenza O O O
Vaccine: O O O
Gets O O O
flu O O O
vaccine O O O
each O O O
year O O O
- O O O
got O O O
this O O O
year O O O
through O O O
FHV O O O
3. O O O
Colonoscopy: O O O
Done O O O
in O O O
2094 O O O
showing O O O
only O O O
mild O O O
sigmoid O O O
tics O O O
4. O O O
Pap O O O
test: O O O
n/a O O O
5. O O O
Mammograms: O O O
n/a O O O
6. O O O
Dex O O O
screening: O O O
never O O O
7. O O O
Dental: O O O
Sees O O O
dentist O O O
Dr. O O O
Uecker O O O
every O O O
few O O O
years O O O
8. O O O
Opthalmologic: O O O
Sees O O O
yearly O O O
through O O O
FHV O O O
Functional O O O
Status: O O O
1. O O O
ADLs: O O O
independent O O O
2. O O O
IADLs: O O O
independent O O O
3. O O O
Mobility: O O O
independent O O O
HCP: O O O
Wife, O O O
Ernestine O O O
is O O O
primary O O O
proxy. O O O
Alternative O O O
is O O O
daughter, O O O
Teresa O O O
Berry. O O O
PE: O O O
BP O O O
112/58, O O O
P O O O
60, O O O
RR O O O
16, O O O
Temp O O O
96.9 O O O
F, O O O
Ht O O O
70 O O O
in, O O O
Wt O O O
208 O O O
lb O O O
BMI O O O
29.9 O O O
Gen: O O O
NAD, O O O
Ox3, O O O
Alert, O O O
pleasant, O O O
normal O O O
affect, O O O
normal O O O
thought O O O
process O O O
and O O O
content, O O O
denies O O O
AH, O O O
VH, O O O
SI. O O O
HEENT: O O O
PERRL, O O O
JVP O O O
8cm O O O
Chest: O O O
CTA O O O
b/l O O O
Heart: O O O
RRR, O O O
normal O O O
s1 O O O
an O O O
s2 O O O
Abd: O O O
obese, O O O
distended, O O O
soft, O O O
no O O O
organomegaly O O O
Ext: O O O
No O O O
edema O O O
b/l, O O O
distal O O O
legs O O O
hairless, O O O
1+ O O O
DP O O O
pulses O O O
b/l, O O O
venous O O O
stasis O O O
changes, O O O
no O O O
ulcers O O O
Skin: O O O
no O O O
rashes, O O O
no O O O
lesions O O O
Neuro: O O O
CN O O O
2-12 O O O
intact. O O O
Gait O O O
WNL O O O
Impression/Plan O O O
by O O O
issue: O O O
1. O O O
Urinary O O O
retention: O O O
s/p O O O
successful O O O
TURP. O O O
on O O O
Flomax/Proscar. NNP B-NP B-DRUG
Likely O O O
does O O O
not O O O
need O O O
Proscar NNP B-NP B-DRUG
at O O O
this O O O
time O O O
per O O O
3/27 O O O
urology O O O
note. O O O
Will O O O
d/c. O O O
? O O O
need O O O
for O O O
FLomax NNP B-NP B-DRUG
s/p O O O
TURP O O O
given O O O
findings O O O
of O O O
weakness/runny O O O
eyes. O O O
WIll O O O
set O O O
up O O O
with O O O
Dr. O O O
Eastman O O O
for O O O
f/u. O O O
2. O O O
Depression: O O O
Appears O O O
fairly O O O
euthymic. O O O
Getting O O O
f/u O O O
thru O O O
Dr. O O O
Nobles O O O
and O O O
FHV. O O O
Continue O O O
Remeron. NNP B-NP B-DRUG
PRN O O O
f/u O O O
with O O O
me O O O
if O O O
symptoms O O O
worsen O O O
-- O O O
have O O O
explained O O O
this O O O
to O O O
pt O O O
who O O O
agrees O O O
with O O O
plan. O O O
3. O O O
Psychosis: O O O
No O O O
evidence O O O
currenlty. O O O
On O O O
Zyprexa, NNP B-NP B-DRUG
had O O O
been O O O
taking O O O
half O O O
of O O O
prescribed O O O
dose. O O O
Dose O O O
not O O O
want O O O
further O O O
increase O O O
at O O O
this O O O
time. O O O
Ok O O O
as O O O
w/o O O O
delusions/psychosis. O O O
4. O O O
Weakness: O O O
Given O O O
low O O O
BP O O O
today, O O O
? O O O
relationship O O O
to O O O
low O O O
BP O O O
vs. O O O
polypharmacy. O O O
TSH/CBC O O O
today. O O O
D/c O O O
proscar. NNP B-NP B-DRUG
Hope O O O
to O O O
D/c O O O
FLomax NNP B-NP B-DRUG
in O O O
near O O O
future. O O O
5. O O O
Runny O O O
eyes: O O O
?relation O O O
to O O O
FLomax. NNP B-NP B-DRUG
Hope O O O
to O O O
be O O O
able O O O
to O O O
stop O O O
s/p O O O
urology O O O
visit. O O O
No O O O
evidence O O O
bacterial O O O
conjunctivitis O O O
at O O O
this O O O
time. O O O
Ophthalmology O O O
visit. O O O
6. O O O
Syncope: O O O
No O O O
further O O O
episodes. O O O
Getting O O O
f/u O O O
with O O O
cards O O O
for O O O
REVEAL O O O
interrogation. O O O
7. O O O
Constipation: O O O
Resolved. O O O
Now O O O
with O O O
daily O O O
BMs. O O O
Have O O O
encouraged O O O
continued O O O
adherence O O O
to O O O
laxatives. NNP B-NP B-DRUG
NTD O O O
8. O O O
Hernia: O O O
Repaired. O O O
No O O O
evidence O O O
of O O O
recurrence O O O
9. O O O
CAD: O O O
No O O O
CP. O O O
continue O O O
ASA, NNP B-NP B-DRUG
BB, NNP B-NP B-DRUG
ACEI. NNP B-NP B-DRUG
CP O O O
free. O O O
NTD O O O
for O O O
now O O O
10. O O O
PVD: O O O
stable O O O
symptoms. O O O
On O O O
full O O O
dose O O O
ASA. NNP B-NP B-DRUG
Pt O O O
not O O O
wanting O O O
further O O O
studies O O O
to O O O
characterize O O O
degree O O O
of O O O
disease O O O
at O O O
this O O O
time. O O O
11. O O O
Hyperlipidemia: O O O
Previous O O O
fasting O O O
lipid O O O
panel O O O
with O O O
LDL O O O
51. O O O
Old O O O
data O O O
-- O O O
will O O O
resend O O O
today. O O O
Sending O O O
LFTs O O O
as O O O
well. O O O
12. O O O
DM: O O O
Recent O O O
A1c O O O
of O O O
6.7. O O O
A1c O O O
today. O O O
13. O O O
HTN: O O O
BP O O O
today O O O
WNL. O O O
No O O O
changes O O O
in O O O
medication O O O
today. O O O
14. O O O
